cd2_id,cd2_name,cd2_chapter,rscd_id,rscd_name,status,notes
S001,US Industrial Production Index,2,S201,US Industrial Production Index,mapped,
S002,US Real Investment,2,S202,US Real Investment,mapped,
S003,US GDP (MeasuringWorth),2,S203,US GDP (MeasuringWorth),mapped,
S004,Ayres Business Cycle Index,2,S204,Ayres Business Cycle Index,mapped,
S007,Manufacturing Productivity and Real Wages,2,S207,Manufacturing Productivity and Real Wages,mapped,
S008,Manufacturing Real Compensation,2,S208,Manufacturing Real Compensation,mapped,
S009,US Unemployment Rate,2,S209,US Unemployment Rate,mapped,
S017,GDP per Capita (Maddison),2,S217,GDP per Capita (Maddison),mapped,
S010,Gold Prices and Wholesale Price Indexes (Source Table),5,S210,Gold Prices and Wholesale Price Indexes (Source Table),mapped,
S206,GDP/GDI Decomposition and Business NOS,6,AS001,GDP/GDI Decomposition and Business NOS,mapped (decision 0002),promoted to AS series per decision 0002
S207,Wage Equivalent and Corporate/Noncorporate Split,6,AS002,Wage Equivalent and Corporate/Noncorporate Split,mapped (decision 0002),promoted to AS series per decision 0002
S208,Imputed Interest Adjustment and Sectoral Profit Rates,6,AS003,Imputed Interest Adjustment and Sectoral Profit Rates,mapped (decision 0002),promoted to AS series per decision 0002
S209,GPIM Corporate Capital Stock,6,AS004,GPIM Corporate Capital Stock,mapped (decision 0002),promoted to AS series per decision 0002
S210,GPIM Variant - BEA 2011 Initial Value,6,AS005,GPIM Variant — BEA 2011 Initial Value,mapped (decision 0002),promoted to AS series per decision 0002
S211,GPIM Variant - BEA 1993 vs 2011,6,AS006,GPIM Variant — BEA 1993 vs 2011,mapped (decision 0002),promoted to AS series per decision 0002
S212,GPIM Variant - IRS Adjusted,6,AS007,GPIM Variant — IRS Adjusted,mapped (decision 0002),promoted to AS series per decision 0002
S213,GPIM Variant - Interwar Adjusted,6,AS008,GPIM Variant — Interwar Adjusted,mapped (decision 0002),promoted to AS series per decision 0002
S214,IRS Corporate Inventories and Total Capital Stock,6,AS009,IRS Corporate Inventories and Total Capital Stock,mapped (decision 0002),promoted to AS series per decision 0002
S013,Final Profit Rate Measures,6,S213,Final Profit Rate Measures,mapped,
S020,US and UK Gold Prices,5,,,unmapped,no figure linkage found in CD HDARP_SERIES_LINKAGE.json
S021,"UK Wholesale Price Indexes in Pound Sterling, US Dollars, and Ounces of Gold",5,,,unmapped,no figure linkage found in CD HDARP_SERIES_LINKAGE.json
S022,"US and UK Wholesale Price Indexes, 1790-1940",5,S501,"US and UK Wholesale Price Indexes, 1790-1940",mapped,
S023,"US and UK Wholesale Price Indexes, 1790-2010",5,S502,"US and UK Wholesale Price Indexes, 1790-2010",mapped,
S024,UK WPI in Gold and UK Gold Price,5,S503,UK WPI in Gold and UK Gold Price,mapped,
S025,US WPI in Gold and US Gold Price,5,S504,US WPI in Gold and US Gold Price,mapped,
S026,Corporate and Non-Corporate Profit Rates,6,S601,Corporate and Non-Corporate Profit Rates,mapped,
S027,Corrected vs Conventional Corporate Profitability,6,S602,Corrected vs Conventional Corporate Profitability,mapped,
S028,"Component Ratios x1, x2, x3",6,S603,"Component Ratios x1, x2, x3",mapped,
S105,Corporate Incremental Rate of Profit (IROP),6,S604,Corporate Incremental Rate of Profit (IROP),mapped,
S215,US Industry Incremental Rates of Profit (IROP),7,,,unmapped,no figure linkage found in CD HDARP_SERIES_LINKAGE.json
S216,OECD Industry IROP (PPP-adjusted),7,,,unmapped,no figure linkage found in CD HDARP_SERIES_LINKAGE.json
S217,US Industry Average Rates of Profit (ROP),7,,,unmapped,no figure linkage found in CD HDARP_SERIES_LINKAGE.json
S034,US Industry Average Rates of Profit,7,S705,US Industry Average Rates of Profit,mapped,
S035,US Industry Profit Rate Deviations from Average,7,S709,US ROP Deviations from Average,mapped (decision 0002),promoted to AS series per decision 0002
S036,US Industry Incremental Rates of Profit,7,S706,US Industry Incremental Rates of Profit,mapped,
S037,US Industry IROP Deviations from Average,7,S710,US IROP Deviations from Average,mapped (decision 0002),promoted to AS series per decision 0002
S038,OECD Industry IROP Deviations (PPP-adjusted),7,S707,OECD Industry IROP Deviations (PPP-adjusted),mapped,
S040,Ibbotson Returns on Stocks and Bonds,10,,,unmapped,no figure linkage found in CD HDARP_SERIES_LINKAGE.json
S041,"Interest Rates, Prices, and Equity Data",10,S803,"Interest Rates, Prices, and Equity Data",mapped,
S042,US Long-Run Interest Rates and Prices,10,S801,US Long-Run Interest Rates and Prices,mapped,
S050,Bank vs Private Industry IROP,10,S1001,Bank vs Private Industry IROP,mapped,
S051,Business Profit Rate and Prime Rate,10,,,unmapped,no figure linkage found in CD HDARP_SERIES_LINKAGE.json
S052,Interest Rate and Price Level,10,S1002,Interest Rate and Price Level,mapped,
S053,Relative Price of Finance,10,S1003,Relative Price of Finance,mapped,
S054,Real Interest Rate HP-filtered,10,S1004,Real Interest Rate HP-filtered,mapped,
S055,Dividend Yield vs Bond Yield,10,S1005,Dividend Yield vs Bond Yield,mapped,
S056,Bond and Equity Returns,10,S1006,Bond and Equity Returns,mapped,
S057,Equity Rate vs Corporate IROP,10,S1007,Equity Rate vs Corporate IROP,mapped,
S058,Equity Rate vs Corporate ROP,10,,,unmapped,no figure linkage found in CD HDARP_SERIES_LINKAGE.json
