,"BLS PPI (WPU00000000) spliced with CPI, Index 1930=100, Index 1930=100","Jastram (1977) Golden Constant Table 2 + UK PPI growth (ukstats), Index 1930=100, Index 1930=100",Composite final series
Year,S023-A,S023-B,S023
1780,115.04847986852918,88.3,115.04847986852918
1781,93.21446179129006,89.7,93.21446179129006
1782,101.61216105176666,98.1,101.61216105176666
1783,89.01561216105178,95.4,89.01561216105178
1784,85.65653245686113,90.1,85.65653245686113
1785,81.45768282662286,89.3,81.45768282662286
1786,77.1748562037798,90.6,77.1748562037798
1787,75.74724732949878,95.9,75.74724732949878
1788,72.38816762530814,90.7,72.38816762530814
1789,71.71635168447001,96.7,71.71635168447001
1790,74.40361544782253,96.5,74.40361544782253
1791,76.4190632703369,96.9,76.4190632703369
1792,77.84667214461793,95.2,77.84667214461793
1793,80.53393590797043,104.4,80.53393590797043
1794,89.35152013147083,106.4,89.35152013147083
1795,102.2,124.1,102.2
1796,107.57452752670504,125.4,107.57452752670504
1797,103.54363188167626,114.7,103.54363188167626
1798,100.10057518488088,116.6,100.10057518488088
1799,100.10057518488088,134.6,100.10057518488088
1800,102.2,163.1,102.2
1801,112.6,163.2,112.6
1802,92.8,132.0,92.8
1803,93.5,133.5,93.5
1804,100.0,134.3,100.0
1805,111.9,147.1,111.9
1806,106.3,145.3,106.3
1807,103.1,141.7,103.1
1808,91.3,156.1,91.3
1809,103.1,167.4,103.1
1810,103.8,165.7,103.8
1811,100.0,157.1,100.0
1812,103.8,176.8,103.8
1813,128.5,182.5,128.5
1814,144.4,166.0,144.4
1815,134.8,140.3,134.8
1816,119.7,128.1,119.7
1817,119.7,142.9,119.7
1818,116.6,149.8,116.6
1819,99.1,138.4,99.1
1820,84.1,124.7,84.1
1821,84.1,107.7,84.1
1822,84.1,95.0,84.1
1823,81.6,105.4,81.6
1824,77.8,110.1,77.8
1825,81.6,122.1,81.6
1826,78.5,108.0,78.5
1827,77.8,107.3,77.8
1828,76.9,104.1,76.9
1829,76.2,103.5,76.2
1830,72.2,102.1,72.2
1831,74.4,102.9,74.4
1832,75.3,98.8,75.3
1833,75.3,95.7,75.3
1834,71.3,93.4,71.3
1835,79.4,91.3,79.4
1836,90.4,102.8,90.4
1837,91.3,101.9,91.3
1838,87.2,105.7,87.2
1839,88.8,112.7,88.8
1840,75.3,110.7,75.3
1841,72.9,105.5,72.9
1842,65.0,95.9,65.0
1843,59.4,86.1,59.4
1844,61.0,87.6,61.0
1845,65.9,90.0,65.9
1846,65.9,92.9,65.9
1847,71.3,104.6,71.3
1848,65.0,88.4,65.0
1849,65.0,79.8,65.0
1850,66.6,79.4,66.6
1851,65.9,77.3,65.9
1852,69.7,80.4,69.7
1853,76.9,97.9,76.9
1854,85.7,105.2,85.7
1855,87.2,104.1,87.2
1856,83.2,104.1,83.2
1857,88.1,108.2,88.1
1858,73.8,93.8,73.8
1859,76.3,96.9,76.3
1860,73.8,102.1,73.8
1861,70.6,101.0,70.6
1862,82.5,104.1,82.5
1863,105.4,106.2,105.4
1864,153.1,108.2,153.1
1865,146.6,104.1,146.6
1866,137.9,105.2,137.9
1867,128.5,103.1,128.5
1868,125.3,102.1,125.3
