,"Jastram (1977) Golden Constant Table 2 + UK PPI growth (ukstats), Index 1930=100, Index 1930=100","UK WPI converted to USD using MeasuringWorth exchange rate, base 1790=100, Index 1790=100","UK WPI deflated by gold price, base 1790=100, Index 1790=100",Composite final series
Year,S021-A,S021-B,S021-C,S021
1780,88.3,,,88.3
1781,89.7,,,89.7
1782,98.1,,,98.1
1783,95.4,,,95.4
1784,90.1,,,90.1
1785,89.3,,,89.3
1786,90.6,,,90.6
1787,95.9,,,95.9
1788,90.7,,,90.7
1789,96.7,,,96.7
1790,96.5,100.0,100.0,96.5
1791,96.9,101.53022452504318,100.41450777202073,96.9
1792,95.2,97.99516407599307,98.65284974093264,95.2
1793,104.4,108.42694300518134,108.18652849740933,104.4
1794,106.4,116.384571099597,110.25906735751296,106.4
1795,124.1,129.45837651122625,128.60103626943004,124.1
1796,125.4,123.8839378238342,129.94818652849742,125.4
1797,114.7,117.27530224525044,118.860103626943,114.7
1798,116.6,117.8754173862982,120.26040841206952,116.6
1799,134.6,128.01335636154292,139.15289862156615,134.6
1800,163.1,170.8934945308002,167.82529373129972,163.1
1801,163.2,164.60932642487043,166.7538678937643,163.2
1802,132.0,136.48359240069087,134.24858444634123,132.0
1803,133.5,139.57167530224524,134.83560564456437,133.5
1804,134.3,140.71732872769144,135.02139088273046,134.3
1805,147.1,147.35405872193434,147.8901459333555,147.1
1806,145.3,148.2277489925158,144.09748435045606,145.3
1807,141.7,144.22890040299365,138.95538477588065,141.7
1808,156.1,166.43477259643063,151.3831445733413,156.1
1809,167.4,176.16994818652847,160.21494671584043,167.4
1810,165.7,164.0782959124928,156.87530075314186,165.7
1811,157.1,138.19735175590097,132.6850160232412,157.1
1812,176.8,147.38422567645367,141.42127756136307,176.8
1813,182.5,157.5993091537133,138.88439119170988,182.5
1814,166.0,162.0817501439263,139.6636599604189,166.0
1815,140.3,158.31203223949342,123.24524697062522,140.3
1816,128.1,153.98549222797928,128.7880876550839,128.1
1817,142.9,151.37363270005756,144.66297311203917,142.9
1818,149.8,155.23316062176167,147.8910516734351,149.8
1819,138.4,143.7383995394358,139.14341398488378,138.4
1820,124.7,129.7971214738054,128.61469064309662,124.7
1821,107.7,119.5426597582038,111.08101188661996,107.7
1822,95.0,108.94645941278064,98.21341284583048,95.0
1823,105.4,116.50431778929187,109.22279792746114,105.4
1824,110.1,123.47426597582036,114.09326424870466,110.1
1825,122.1,135.80725388601036,126.2300811418516,122.1
1826,108.0,122.36269430051811,111.91709844559584,108.0
1827,107.3,122.0637881404721,111.19170984455958,107.3
1828,104.1,118.1837651122625,107.87564766839378,104.1
1829,103.5,115.83419689119172,107.00092873203636,103.5
1830,102.1,111.91617731721358,105.55357317430835,102.1
1831,102.9,115.16269430051814,106.13032612008536,102.9
1832,98.8,110.5740932642487,102.14194935966373,98.8
1833,95.7,105.56200345423144,98.9370906246945,95.7
1834,93.4,99.79873344847438,96.55929220842704,93.4
1835,91.3,101.97006332757628,94.38825887183498,91.3
1836,102.8,114.10385722510074,106.27725095317236,102.8
1837,101.9,119.67530224525044,105.34680809463292,101.9
1838,105.7,119.026597582038,109.27534460846614,105.7
1839,112.7,129.50443293033968,116.23797622676015,112.7
1840,110.7,127.46113989637306,114.44447160035196,110.7
1841,105.5,121.230857800806,109.0685795287907,105.5
1842,95.9,106.00345423143352,99.14385570436994,95.9
1843,86.1,94.97271157167532,89.01236680027374,86.1
1844,87.6,98.03937823834195,90.56310489783948,87.6
1845,90.0,100.93264248704664,93.04428585394469,90.0
1846,92.9,103.11525618883132,96.04237950923846,92.9
1847,104.6,115.3791594703512,108.13813667025126,104.6
1848,88.4,99.13828439838802,91.39016521654122,88.4
1849,79.8,88.39101899827287,82.49926679049761,79.8
1850,79.4,89.04502014968337,82.08573663114676,79.4
1851,77.3,87.40195739781232,79.91470329455471,77.3
1852,80.4,90.7219343696028,83.11956202952392,80.4
1853,97.9,110.24317789291884,101.21150650112428,97.9
