,"Economic Report of the President, Table 73, Rate (decimal)","Shaikh Appendix 6.8.II.7, rcorp, Rate (decimal)","Derived from S097-B, S097-A","HP-filtered (lambda=100) profit spread, Rate (decimal)",Composite final series
Year,S097-A,S097-B,S097-C,S097-D,S097
1947,,0.1437460364054025,0.1437460364054025,,
1948,0.0104,0.1639635207520729,0.1535635207520729,0.306220765335575,0.0104
1949,0.01102,0.1369728251198376,0.1259528251198376,0.270534302259155,0.01102
1950,0.01218,0.1622841654864254,0.1501041654864254,0.237222631529379,0.01218
1951,0.01552,0.1598319376178753,0.1443119376178753,0.2052832024703,0.01552
1952,0.01766,0.136202164687798,0.118542164687798,0.175972238090677,0.01766
1953,0.01931,0.1280451619832189,0.1087351619832189,0.152046129374567,0.01931
1954,0.00953,0.117617301564283,0.108087301564283,0.133864544925119,0.00953
1955,0.01753,0.1435878447213399,0.1260578447213399,0.120690692051735,0.01753
1956,0.02658,0.1255092604432955,0.0989292604432955,0.11043413261457,0.02658
1957,0.03267,0.112054004990328,0.079384004990328,0.104269521553258,0.03267
1958,0.01839,0.0950543175924886,0.0766643175924886,0.102415172481289,0.01839
1959,0.03405,0.113812255694978,0.079762255694978,0.10434070379662,0.03405
1960,0.02928,0.1057030783088954,0.0764230783088954,0.107562582172394,0.02928
1961,0.02378,0.1051665795581391,0.0813865795581391,0.112318867243789,0.02378
1962,0.02778,0.1160778924931702,0.0882978924931702,0.11741799282426,0.02778
1963,0.03157,0.1214306920317796,0.0898606920317796,0.120897204054823,0.03157
1964,0.03549,0.1281373859191596,0.0926473859191596,0.121983566148251,0.03549
1965,0.03954,0.1381820900694508,0.0986420900694508,0.120285172276769,0.03954
1966,0.04881,0.1378025025973034,0.0889925025973034,0.116038279951119,0.04881
1967,0.04321,0.1247415943691693,0.0815315943691693,0.110896294959277,0.04321
1968,0.05339,0.1238522972669269,0.0704622972669269,0.106842240289706,0.05339
1969,0.06677,0.112493428653347,0.045723428653347,0.104710175981277,0.06677
1970,0.06458,0.0933168237273528,0.0287368237273528,0.105549739669963,0.06458
1971,0.04348,0.0956335405737125,0.0521535405737125,0.109357467231926,0.04348
1972,0.0407099999999999,0.0984145512000635,0.0577045512000635,0.114037397146627,0.0407099999999999
1973,0.07041,0.0985066320738372,0.0280966320738372,0.118225993221208,0.07041
1974,0.07886,0.0845081359668314,0.0056481359668314,0.121400345291345,0.07886
1975,0.05838,0.0802629035249366,0.0218829035249366,0.123157283260501,0.05838
1976,0.04989,0.0828224734011403,0.0329324734011403,0.121726633579226,0.04989
1977,0.0526499999999999,0.0861588528600379,0.0335088528600379,0.116350649865466,0.0526499999999999
1978,0.07221,0.0878592468885134,0.0156492468885134,0.107204319401374,0.07221
1979,0.10041,0.0801045969941688,-0.0203054030058311,0.0957941229704485,0.10041
1980,0.11506,0.0673608836384091,-0.0476991163615908,0.0844594981621732,0.11506
1981,0.14029,0.0696323145728343,-0.0706576854271656,0.0747919413363285,0.14029
1982,0.10686,0.0598760205203428,-0.0469839794796571,0.066938353871073,0.10686
1983,0.0863,0.0652764851094288,-0.0210235148905711,0.0614247177312018,0.0863
1984,0.0958,0.0770929556450637,-0.0187070443549362,0.0574336313427993,0.0958
1985,0.0748,0.0756996486776697,0.0008996486776697,0.0543274459546379,0.0748
1986,0.0598,0.0689925510699552,0.0091925510699552,0.0525061765020621,0.0598
1987,0.0582,0.0725227229251036,0.0143227229251036,0.0520245634608698,0.0582
1988,0.0669,0.0773267097108481,0.0104267097108481,0.0520012855418384,0.0669
1989,0.0812,0.0759369492482878,-0.0052630507517121,0.0521657758211366,0.0812
1990,0.0751,0.0720007351053663,-0.0030992648946336,0.0533224545195147,0.0751
1991,0.0542,0.0693757254495146,0.0151757254495146,0.0558840840995115,0.0542
1992,0.0345,0.0691007114859273,0.0346007114859273,0.0595472024784709,0.0345
1993,0.0302,0.0696181531750524,0.0394181531750524,0.0635205067327413,0.0302
1994,0.0429,0.075209740086175,0.032309740086175,0.0666052219138867,0.0429
1995,0.0550999999999999,0.0787771925426098,0.0236771925426098,0.0677413680061436,0.0550999999999999
1996,0.0501999999999999,0.0829978108581585,0.0327978108581585,0.0668459127746096,0.0501999999999999
1997,0.0507,0.0860398752645587,0.0353398752645587,0.0646554103043208,0.0507
1998,0.0481,0.0793794459822517,0.0312794459822517,0.0622559555525675,0.0481
1999,0.0466,0.0787578405987496,0.0321578405987496,0.0613130893735966,0.0466
2000,0.0584999999999999,0.0737550490621073,0.0152550490621073,0.0623277930661295,0.0584999999999999
2001,0.0345,0.0659292913870848,0.0314292913870847,0.0657699170351515,0.0345
2002,0.0162,0.0655206788884379,0.0493206788884379,0.0712190337549867,0.0162
2003,0.0102,0.0671296416385874,0.0569296416385874,0.0771310165296077,0.0102
2004,0.0138,0.0775171954142376,0.0637171954142375,0.0820195483254373,0.0138
2005,0.0316,0.082195330303336,0.050595330303336,0.0846990019436019,0.0316
2006,0.0473,0.0822217499484464,0.0349217499484464,0.0858595547019741,0.0473
2007,0.0441,0.0710242193356606,0.0269242193356606,0.0876123938989899,0.0441
2008,0.0148,0.0559493146881688,0.0411493146881688,0.0927791112860661,0.0148
2009,0.0016,0.0579402451178832,0.0563402451178832,0.102281174675629,0.0016
2010,0.0014,0.0728765477472786,0.0714765477472786,0.114075260767245,0.0014
2011,0.0006,0.0753731040793664,0.0747731040793664,0.126111234513724,0.0006
