Year,"DATA from File = RXRRULC OECD.xlsx OECD.Stat, Monthly Monetary and Financial Statistics, Short Term Interest Rates (MEI) (downloaded 6/9/13), EU rates track my OECD average rates quite well (since EU ","DATA from File = RXRRULC OECD.xlsx OECD.Stat, Monthly Monetary and Financial Statistics, Short Term Interest Rates (MEI) (downloaded 6/9/13), EU rates track my OECD average rates quite well (since EU ","OECD.Stat, Monthly Monetary and Financial Statistics, Short Term Interest Rates (MEI) (downloaded 6/9/13), EU rates track my OECD average rates quite well (since EU countries are  a big part of that). So I use the 2009 ratio of OECD/EU to fill in 2010-2011 OECD rates","DATA from File = RXRRULC OECD.xlsx OECD.Stat, Monthly Monetary and Financial Statistics, Short Term Interest Rates (MEI) (downloaded 6/9/13), EU rates track my OECD average rates quite well (since EU ","OECD.Stat, Monthly Monetary and Financial Statistics, Short Term Interest Rates (MEI) (downloaded 6/9/13"
,S094A,S094B,S094C,S094D,S094
1960,0.0411667,0.04913350440729029,,,
1961,0.038825,0.04638770654060418,,,
1962,0.0394583,0.04543594789165934,,,
1963,0.040025000000000005,0.046036691150504794,,,
1964,0.04186670000000001,0.049630778258356295,,,
1965,0.043441669999999995,0.054616059692168754,,,
1966,0.05483333,0.06225500588928039,,,
1967,0.050208329999999995,0.05702860156467568,,,
1968,0.058591670000000005,0.0593073833616693,,,
1969,0.07760833,0.07253099604577662,,,
1970,0.07564167000000001,0.08078753473709199,,,
1971,0.05005,0.0635912064916753,,,
1972,0.04665833,0.05827972146452961,,,
1973,0.08415832999999999,0.08625426774001994,,,
1974,0.10244170000000001,0.10422777381869762,,,
1975,0.06436665999999999,0.07686079814214808,,,
1976,0.05268333,0.07701920879562994,,,
1977,0.05640833,0.07438839813427206,,,
1978,0.08221666000000001,0.07735293431432522,,,
1979,0.11225,0.09939643216740328,,,
1980,0.1306667,0.12005181997346051,,,
1981,0.1591083,0.13930953820413353,,,
1982,0.1227083,0.11932403019271824,,,
1983,0.09066667,0.09505872266825782,,,
1984,0.10365,0.09736355101129524,,,
1985,0.08047499999999999,0.08588176626890473,,,
1986,0.06518333,0.07205954294186155,,,6.52
1987,0.06860833000000001,0.06944729702201671,,,6.86
1988,0.077275,0.07212436288682611,,,7.73
1989,0.09085000000000001,0.08802815504651956,,,9.09
1990,0.081475,0.09635491586720331,,,8.15
1991,0.05835,0.08581710861637996,,,5.84
1992,0.03681667,0.07396279246697947,,,3.68
1993,0.03174167,0.057132434192124756,,,3.17
1994,0.04629167,0.05798942354624027,0.0653,0.8880463023926535,4.63
1995,0.059166670000000005,0.05940047156615028,0.0682,0.8709746563951655,5.92
1996,0.053899999999999997,0.047785455321685245,0.0509,0.9388105171254468,5.39
1997,0.056158330000000006,0.04443014677810425,0.0438,1.0143869127421061,5.62
1998,0.05466667,0.04135209218690966,0.039599999999999996,1.0442447521946885,5.47
1999,0.0533,0.03951014721964399,0.0296,1.3348022709339187,5.33
2000,0.06455833,0.04876478256448426,0.043899999999999995,1.110815092585063,6.46
2001,0.03686667,0.03868876360749711,0.0426,0.9081869391431246,3.69
2002,0.01725833,0.028962843053612804,0.0332,0.87237479077147,1.73
2003,0.01150833,0.022565492448344052,0.0233,0.9684760707443799,1.15
2004,0.01563333,0.024097420018320066,0.021099999999999997,1.142057820773463,1.56
2005,0.03511667,0.02783040091768195,0.0218,1.2766238953065114,3.51
2006,0.05153333,0.03657379469833752,0.0308,1.1874608668291402,5.15
2007,0.05268333,0.042307966373964855,0.042800000000000005,0.9885038872421694,5.27
2008,0.02965,0.03649718194451612,0.0463,0.7882760679161149,2.97
2009,0.0055583329999999995,0.013606428754510924,0.0123,1.106213719878937,0.56
2010,0.0031,0.00896033113101939,0.008100000000000001,1.1062137198789368,0.31
2011,0.003,0.015376370706317224,0.0139,1.106213719878937,0.3
2012,0.0028000000000000004,0.00630541820330994,0.005699999999999999,1.106213719878937,0.28
