,"Federal Reserve, Household Financial Obligations Ratio, Ratio (decimal)","Federal Reserve, Household Debt-Service Ratio, Ratio (decimal)",Composite final series,"FRED FODSP (Financial Obligations Ratio), Percent"
Year,S101-A,S101-B,S101,S101-EXT
1980,0.15739,0.108748,0.15739,0.15894851128861595
1981,0.15540175,0.10601775,0.15540175,0.15834298621542628
1982,0.15677475000000002,0.106308,0.15677475000000002,0.1604283639226043
1983,0.15612025000000002,0.1053775,0.15612025000000002,0.15988097303482554
1984,0.15843725,0.10822075,0.15843725,0.1626415397830245
1985,0.16905625,0.1162425,0.16905625,0.17344748905443624
1986,0.17553325,0.121106,0.17553325,0.17946631055256815
1987,0.177148,0.121772,0.177148,0.1815369146717833
1988,0.17311325,0.11907925,0.17311325,0.17683091317759966
1989,0.1723015,0.1189205,0.1723015,0.17623331337011153
1990,0.1727835,0.11901625,0.1727835,0.1755247209171359
1991,0.17090875,0.1164925,0.17090875,0.17358861535589154
1992,0.16322675,0.1094835,0.16322675,0.16546027185716755
1993,0.16084525,0.10738275,0.16084525,0.16256875916682798
1994,0.16244825,0.10850699999999999,0.16244825,0.16462916476141742
1995,0.168517,0.11438,0.168517,0.17078297268587367
1996,0.17103525,0.11742175,0.17103525,0.1726522299024977
1997,0.17207375,0.118277,0.17207375,0.17305347307784136
1998,0.16888575,0.11681925,0.16888575,0.169820680903895
1999,0.17185075,0.11960875,0.17185075,0.1729282388285
2000,0.17254675,0.12193375000000001,0.17254675,0.1747595305450543
2001,0.17825325,0.12730924999999998,0.17825325,0.18082579983561778
2002,0.17949575,0.12959575,0.17949575,0.17963249719812271
2003,0.17853275000000002,0.13071525,0.17853275000000002,0.17684869961215047
2004,0.178251,0.13159500000000002,0.178251,0.1762150753978292
2005,0.18299725,0.13600175,0.18299725,0.18178220346177565
2006,0.185696,0.13847375,0.185696,0.18310077148914528
2007,0.18870375,0.1400785,0.18870375,0.1865702343105186
2008,0.18325675,0.13517075,0.18325675,0.18479894261632324
2009,0.18420275,0.13243175000000001,0.18420275,0.18038130764973678
2010,0.17050475,0.1200655,0.17050475,0.1689634001899834
2011,0.16100775,0.11071,0.16100775,0.1616837062873835
2012,0.15703299999999998,0.10596900000000001,0.15703299999999998,0.15703299999999998
2013,,,0.1597384246490204,0.1597384246490204
2014,,,0.15750477648306027,0.15750477648306027
2015,,,0.157094531098575,0.157094531098575
2016,,,0.1576976349953077,0.1576976349953077
2017,,,0.15530240379261892,0.15530240379261892
2018,,,0.15307860122524142,0.15307860122524142
2019,,,0.15272545719848232,0.15272545719848232
2020,,,0.1440124631639959,0.1440124631639959
2021,,,0.1398730247458696,0.1398730247458696
2022,,,0.14896485634205636,0.14896485634205636
2023,,,0.1468134866549212,0.1468134866549212
