Year,"FOF D3, line 2","NIPA  2.1, line 27","DebtIncRatio FOF D3, line 2 NIPA  2.1, line 27"
,S092A,S092B,S092
1975,734.3,1187.3,0.6184620567674556
1976,818.9,1302.3,0.6288105659218306
1977,946.7,1435.0,0.6597212543554007
1978,1105.4,1607.3,0.6877371990294283
1979,1276.1,1790.9,0.7125467641967724
1980,1396.0,2002.7,0.6970589703899736
1981,1507.2,2237.1,0.6737293817889232
1982,1576.4,2412.7,0.6533758859369172
1983,1732.0,2599.8,0.6662050926994384
1984,1943.3,2891.5,0.6720733183468788
1985,2277.8,3079.3,0.7397135712661969
1986,2537.3,3258.8,0.7785994844728121
1987,2755.1,3435.3,0.8019969143888451
1988,3043.6,3726.3,0.8167887717038348
1989,3319.0,3991.4,0.8315378062835095
1990,3580.9,4254.0,0.8417724494593324
1991,3769.7,4444.9,0.8480955702040541
1992,3970.4,4736.7,0.8382207021766209
1993,4210.3,4921.6,0.8554738296488946
1994,4531.8,5184.3,0.8741392280539321
1995,4841.2,5457.0,0.8871541139820414
1996,5177.0,5759.6,0.8988471421626502
1997,5477.6,6074.6,0.9017219240773056
1998,5903.4,6498.9,0.9083691086183816
1999,6396.0,6803.3,0.9401319947672453
2000,6987.3,7327.2,0.9536112020962988
2001,7659.3,7648.5,1.0014120415767798
2002,8484.3,8009.7,1.0592531555488969
2003,9505.0,8377.8,1.1345460622120367
2004,10569.6,8889.4,1.1890116318311699
2005,11742.9,9277.3,1.2657669796169144
2006,12929.5,9915.7,1.3039422330243955
2007,13802.1,10423.6,1.3241202655512492
2008,13843.0,11024.5,1.2556578529638531
2009,13397.0,10722.4,1.2494404237857197
2010,13059.9,11127.1,1.1737020427604676
2011,12863.7,11549.3,1.1138077632410623
2012,12819.3,11950.8,1.072672959132443
