Year,Appendix 6.8.II.7_Rcorp,Appendix 6.8.II.7_Profshcorp,Appendix 6.8.II.7_rcorp,Appendix 6.8.II.7_uK,Appendix 6.8.II.7_Rcorpn,Appendix 6.8.II.7_Profshcorpn,Appendix 6.8.II.7_rcorpn,Calculated,Calculated,Calculated,Appendix 6.8.II.7_iroprcorp,Appendix 6.8.II.7_iroprcorp_HP100,Appendix 6.8.II.7_iroprcorp_HP100(-1),"Eco. Report President, T73 (i)",Calculated_(rcorp - i),Calculated_(rcorp - i)_HP100,Calculated_(rcorp - i)_HP100(-1),Calculated_(iropcorp - i),Calculated_(iropcorp - i)_HP100,Calculated_(iropcorp - i)_HP100(-1),Profit Rate Data Appendix 6.8.II.7_Rcorp Appendix 6.8.II.7_Profshcorp Appendix 6.8.II.7_rcorp Appendix 6.8.II.7_uK Appendix 6.8.II.7_Rcorpn Appendix 6.8.II.7_Profshcorpn Appendix 6.8.II.7_rcorpn Calcu,Appendix Table 6.8A.3_ECcorp,wages and productivity business new.xlsx,Calculated_Eccorp*ec'_(Eccorpalt),Appendix 6.8.II.7_NOScorp,Calculated_NOScorp+(ECcorp-ECcorpalt),Calculated_rcorpalt = rcorp*(Pcorpalt/Pcorp),From Column O,ioecd
,S090A,S090B,S090C,S090D,S090E,S090F,S090G,S090H,S090I,S090J,S090K,S090L,S090M,S090N,S090O,S090P,S090Q,S090R,S090S,S090T,S090U,S090V,S090W,S090X,S090Y,S090Z,S090AA,S090AB,S090
1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,0.684669876212078,0.20994940978077573,0.14374603640540254,0.885106384754181,0.7735452912840868,0.229449284911671,0.17748941393192397,,,,,,,,0.14374603640540254,,,,,,0.0,,,,24.9,,,,
1948,0.694674106613144,0.2360294117647059,0.16396352075207296,0.923893213272095,0.7518987006656971,0.229324174783279,0.1724285490507807,-0.027983611124380747,-0.0005452626642099556,-0.02851361537023478,0.31468453732815793,0.162021979190928,,0.0104,0.15356352075207297,0.306220765335575,,0.3042845373281579,0.152106226528314,,0.0,91.1,1.0,91.1,32.1,32.099999999999994,0.16396352075207293,,
1949,0.6005033790022022,0.2280966767371601,0.13697282511983766,0.869800388813019,0.6903921712678062,0.22900357180577,0.1581022731670685,-0.08180161681811104,-0.00139803393084037,-0.08308528931304215,-0.11933291420477785,0.143262907836036,0.162021979190928,0.01102,0.12595282511983766,0.270534302259155,0.306220765335575,-0.13035291420477785,0.131929957098199,0.152106226528314,0.0,88.8,1.0,88.8,30.2,30.200000000000003,0.13697282511983766,,
1950,0.6569891215660126,0.2470119521912351,0.16228416548642546,0.879007756710052,0.7474213015195563,0.228358741382195,0.17068018769724796,0.0826039642758758,-0.0028158094587359406,0.07955555779320278,0.43918643202486496,0.126030616689233,0.143262907836036,0.01218,0.15010416548642547,0.237222631529379,0.270534302259155,0.42700643202486493,0.113275625402801,0.131929957098199,0.0,98.7,1.0,98.7,37.2,37.2,0.16228416548642546,,
1951,0.6502339297442505,0.24580682475419316,0.15983193761787534,0.925842940807343,0.702315588405568,0.227251913197548,0.15960256113362697,-0.06034844474232337,-0.004846883364077348,-0.06490282623353127,0.07423948026439547,0.109226256880253,0.126030616689233,0.01552,0.14431193761787534,0.2052832024703,0.237222631529379,0.058719480264395475,0.0950418696058558,0.113275625402801,0.0,114.6,1.0,114.6,42.5,42.5,0.15983193761787534,,
1952,0.6068712214783908,0.2244333886124931,0.13620216468779806,0.910232961177826,0.6667207707937863,0.225731729522999,0.15050003270018839,-0.05068208395116325,-0.006689420798088208,-0.05703247096277808,-0.08652761196412544,0.0948826733719315,0.109226256880253,0.01766,0.11854216468779806,0.175972238090677,0.2052832024703,-0.10418761196412543,0.0792645716170687,0.0950418696058558,0.0,123.0,1.0,123.0,40.6,40.599999999999994,0.13620216468779803,,
1953,0.6031519065681555,0.21229338842975204,0.12804516198321894,0.924771666526794,0.6522171130452558,0.224032313497744,0.14611770873834828,-0.021753721173652263,-0.007528476518768978,-0.0291184253133695,0.016692636395081967,0.0846824485583049,0.0948826733719315,0.01931,0.10873516198321895,0.152046129374567,0.175972238090677,-0.0026173636049180334,0.0676161946500888,0.0792645716170687,0.0,134.0,1.0,134.0,41.099999999999994,41.099999999999994,0.12804516198321894,,
1954,0.5556906753806325,0.2116596638655462,0.11761730156428303,0.8767209649086,0.6338284330163868,0.222374470965749,0.1409472624750687,-0.0281941084664441,-0.007400015230444423,-0.03538548686482801,-0.013296796656494017,0.0784943380996895,0.0846824485583049,0.00953,0.10808730156428303,0.133864544925119,0.152046129374567,-0.022826796656494015,0.0599345562023938,0.0676161946500888,0.0,132.2,1.0,132.2,40.3,40.30000000000001,0.11761730156428307,,
